iter	Passed	Remaining
0	1	1494
1	2	1358
2	4	1330
3	5	1315
4	6	1329
5	8	1353
6	9	1340
7	10	1318
8	17	1945
9	19	1896
10	20	1831
11	21	1774
12	22	1726
13	24	1690
14	25	1653
15	26	1627
16	27	1601
17	28	1575
18	30	1552
19	31	1537
20	32	1518
21	33	1503
22	35	1491
23	36	1482
24	37	1471
25	38	1458
26	40	1454
27	41	1442
28	42	1434
29	44	1430
30	45	1421
31	46	1413
32	47	1404
33	49	1398
34	50	1390
35	51	1381
36	52	1376
37	54	1379
38	55	1377
39	57	1371
40	58	1366
41	59	1361
42	60	1356
43	62	1354
44	63	1355
45	65	1348
46	66	1344
47	67	1337
48	68	1335
49	70	1331
50	71	1327
51	72	1324
52	74	1323
53	75	1320
54	76	1319
55	78	1318
56	79	1316
57	80	1312
58	82	1308
59	83	1305
60	84	1302
61	85	1300
62	87	1301
63	88	1299
64	90	1295
65	91	1293
66	92	1295
67	94	1294
68	95	1291
69	97	1290
70	98	1286
71	99	1285
72	101	1284
73	102	1285
74	104	1283
75	105	1283
76	107	1283
77	108	1279
78	109	1275
79	110	1273
80	112	1270
81	113	1268
82	114	1266
83	115	1264
84	117	1261
85	118	1261
86	119	1258
87	121	1261
88	123	1260
89	125	1264
90	126	1263
91	127	1261
92	129	1259
93	130	1257
94	131	1256
95	133	1255
96	134	1254
97	136	1252
98	137	1250
99	138	1248
100	140	1246
101	141	1245
102	142	1243
103	144	1242
104	145	1241
105	146	1239
106	148	1239
107	149	1237
108	151	1236
109	152	1233
110	153	1231
111	155	1229
112	156	1227
113	157	1225
114	158	1223
115	160	1221
116	161	1219
117	162	1218
118	164	1216
119	165	1215
120	167	1213
121	168	1211
122	169	1208
123	170	1207
124	172	1206
125	173	1204
126	174	1202
127	176	1204
128	178	1202
129	179	1199
130	180	1197
131	181	1196
132	183	1195
133	184	1193
134	186	1192
135	187	1190
136	188	1188
137	190	1191
138	192	1190
139	193	1189
140	195	1188
141	196	1188
142	198	1187
143	199	1186
144	201	1186
145	202	1184
146	203	1183
147	205	1181
148	206	1180
149	208	1178
150	209	1176
151	210	1175
152	212	1174
153	213	1172
154	214	1170
155	216	1168
156	217	1167
157	218	1165
158	220	1164
159	221	1162
160	222	1159
161	224	1158
162	225	1156
163	226	1155
164	227	1153
165	229	1150
166	230	1149
167	231	1147
168	233	1146
169	234	1145
170	235	1143
171	237	1141
172	238	1140
173	239	1138
174	241	1136
175	242	1134
176	243	1133
177	244	1131
178	246	1129
179	247	1127
180	248	1126
181	250	1125
182	251	1123
183	253	1123
184	254	1122
185	256	1123
186	258	1122
187	259	1120
188	260	1119
189	262	1117
190	263	1116
191	264	1114
192	266	1112
193	267	1112
194	269	1111
195	270	1111
196	272	1109
197	273	1107
198	274	1106
199	276	1104
200	277	1103
201	278	1101
202	280	1100
203	281	1098
204	283	1097
205	284	1096
206	285	1094
207	286	1092
208	288	1090
209	289	1089
210	291	1088
211	292	1086
212	293	1085
213	295	1083
214	296	1082
215	297	1080
216	299	1079
217	300	1077
218	301	1075
219	302	1073
220	303	1071
221	305	1069
222	306	1067
223	307	1066
224	309	1065
225	310	1064
226	312	1063
227	313	1062
228	315	1061
229	316	1060
230	318	1058
231	319	1057
232	320	1055
233	322	1054
234	323	1053
235	325	1052
236	326	1050
237	327	1049
238	329	1049
239	330	1047
240	331	1045
241	333	1043
242	334	1041
243	335	1040
244	336	1038
245	338	1036
246	339	1035
247	340	1033
248	341	1031
249	343	1030
250	345	1029
251	346	1027
252	347	1026
253	349	1025
254	350	1023
255	351	1021
256	352	1020
257	354	1018
258	355	1017
259	356	1015
260	358	1014
261	359	1013
262	361	1012
263	362	1011
264	364	1009
265	365	1008
266	366	1007
267	368	1005
268	369	1003
269	370	1002
270	371	1000
271	373	998
272	374	997
273	375	996
274	377	994
275	378	992
276	379	991
277	380	989
278	382	987
279	383	986
280	384	984
281	386	983
282	387	982
283	389	981
284	390	979
285	391	977
286	392	976
287	394	974
288	395	973
289	396	971
290	398	969
291	399	968
292	400	966
293	402	965
294	403	964
295	405	963
296	406	962
297	407	960
298	409	959
299	410	958
300	412	957
301	413	955
302	414	953
303	416	952
304	417	951
305	418	949
306	420	948
307	421	946
308	422	945
309	423	943
310	425	941
311	426	940
312	427	938
313	429	937
314	430	935
315	431	934
316	432	932
317	433	930
318	435	929
319	436	927
320	438	926
321	439	925
322	440	923
323	441	921
324	443	920
325	444	918
326	445	917
327	447	915
328	448	914
329	449	913
330	451	912
331	452	910
332	454	909
333	455	908
334	457	907
335	458	905
